product_id,date,review
1000572062,2025.01.20,양 많아요 두사람 배 부르게 먹었습니다. 양념도 맛나거요
1000572062,2025.01.20,간단하게 전골밀키트! 여러가지 버섯하구 당면 더 추가해먹었는데 맛나요^^
1000572062,2025.01.20,첫구매인데.간단하게 좋네요~
1000572062,2025.01.19,고기가 너무 종잇장 마냥 얇아여~~
1000572062,2025.01.19,"해동 미리해서 
버섯 썰고 핏물빼고 해야하는지 몰랐어요 
양념 되어잌ㅅ는 불고기가 아니고. 생고기에 양념을 재워야하는거네요 ^^"
1000572062,2025.01.19,아직 안먹어봤는데 맛있었음 좋겠어요
1000572062,2025.01.19,"정말 맛있게 먹었어요
좀 귀찮은면은 있어요"
1000572062,2025.01.19,진짜 너무 별로였음. 이런걸 불고기 밀키트라고 파는건지.. 바르다 김선생 불고기 덮밥이 훨씬 맛있음;
1000572062,2025.01.19,불고기전골 맛 괜찮아요.
1000572062,2025.01.19,간이 적당하고 집에 있는 야채 추가해서 한끼 맛있게 잘 먹었네요
1000572062,2025.01.19,호불호 없는 메인 요리를 꼽자면 양념 소불고기가 최고에요. 달짝지근한 양념이 고루 밴 야들한 소불고기는 온 가족 밥반찬으로 딱이네요
1000572062,2025.01.19,소불고기 전골 맛있어요 
1000572062,2025.01.19,간만에 아이 좋아하는 메뉴 구매. 면추가 듬뿍 
1000572062,2025.01.19,"깔끔하고 맛나네요
야채가 들어있어 건강한맛

단지 시간이 지나서인지 야채 가 물러진부분이 좀 그랬어요"
1000572062,2025.01.19,진짜맛나고좋으네요  쟁여두고먹어요
1000572062,2025.01.19,"제입맛엔 쏘쏘
야채도 너무얼어서 물러지고 버섯도 냄새나고
후기가많아 구매했는데 평타이하였음
비추"
1000572062,2025.01.19,한끼 식사로 좋아요
1000572062,2025.01.19,푸짐하고 간단하게 저녁 해결할수 있어요!! 내용물도 알차고 넘 맛있네요요
1000572062,2025.01.19,한끼 식사로 좋아요
1000572062,2025.01.19,한끼 식사로 좋아요
1000572062,2025.01.19,사리원 소불고기 전골 맛있어요.
1000572062,2025.01.19,맛 괜찮네요. 예전에 대전 사리원 즐겨갔었는데 같은 곳이려나요.
1000572062,2025.01.19,고기도 부드럽고 국물도 맛있어요
1000572062,2025.01.19,푸짐하고 조리법도 간편해 좋습니다!
1000572062,2025.01.19,야채 구성이 독특하네요. 컬리 불고기는 항상 맛있어서 믿고 먹습니다
1000572062,2025.01.19,"소스 다 넣으면 짜요
그리고 넘 번거로워요"
1000572062,2025.01.19,소불고기 전골 종종 먹고있어요
