상품명,가격,별점,리뷰수,판매수량,온라인판매금액
풀무원 2분조리 국물 떡볶이 1인분 170G,2990,4.7,799,213,636870
[밀키트] 마이셰프 바지락술찜과 파스타 1062G,9990,4.7,24,211,2107890
[하남돼지집] 고깃집 김치볶음밥 x 6개,15000,4.5,11,207,3105000
[밀키트] 이화수 육개장 칼국수 950G,9990,4.7,151,202,2017980
[밀키트] 홈밀 포크&가니쉬 바비큐 스테이크 624G,9990,4.9,14,175,1748250
[밀키트] 홈밀 고추장찌개 요리재료 485G,6990,4.7,26,163,1139370
[밀키트] 마이셰프 월남쌈 883G,9990,4.6,402,162,1618380
[밀키트] 홈밀 야끼소바 743G,9990,4.7,131,158,1578420
프레시지 우삼겹청국장찌개 773G,8990,4.8,17,157,1411430
[밀키트] 홈밀 소고기 마라샹궈 635G,9990,4.5,113,154,1538460
"[밀키트] 홈밀 모둠버섯 두부전골 1,019G",16990,4.3,49,153,2599470
북촌손만두 고기굴림만두 500G,8990,4.7,302,141,1267590
빕스 고르곤졸라피자 400G,8900,4.7,200,127,1130300
[밀키트] 홈밀 해물탕 908G,9990,4.7,31,105,1048950
[경복궁]칼집 LA갈비 600g,35200,5.0,5,96,3379200
[밀키트] 애슐리 멕시칸 타코 470G,9990,4.8,85,92,919080
[경복궁]불고기 LA갈비 혼합구성 (양념불고기 1팩+칼집LA갈비 1팩),58700,5.0,1,90,5283000
[밀키트] 애슐리 목살 스테이크 플래터 635G,9990,4.6,112,88,879120
[밀키트] 려강 소머리 국밥 1090G,9990,4.6,47,87,869130
[밀키트] 홈밀 한우 곱도리탕 1700G,17990,4.6,11,77,1385230
대상 호밍스 서울식 소불고기 전골 650G,13900,4.6,119,72,1000800
얌샘김밥 물쫄면 1130G,8990,4.4,84,70,629300
홀리셔스 감탄도시락 혼합구성 5팩,28900,4.8,6,69,1994100
[밀키트] 홈밀 호로록 로제떡볶이 726G,9990,4.6,277,65,649350
[서민갑부 방영] 신사강 제주흑돼지 김치찜 밀키트 1.3kg (2~3인분),18900,5.0,4,64,1209600
애슐리 크리스피 포테이토 핫도그 640G,12990,4.6,146,60,779400
