조사연도,조사분기,구분,업종,지수항목,지수
2022,4,현재,전체,매출액,82.54
2022,4,현재,전체,식재료,145.01
2022,4,현재,전체,고용,95.85
2022,4,현재,한식 음식점업,매출액,82.1
2022,4,현재,한식 일반음식점업,매출액,81.57
2022,4,현재,한식 면요리 전문점,매출액,80.76
2022,4,현재,한식 육류요리 전문점,매출액,85.8
2022,4,현재,한식 해산물요리 전문점,매출액,77.22
2022,4,현재,외국식 음식점업,매출액,83.06
2022,4,현재,중식 음식점업,매출액,76.08
2022,4,현재,일식 음식점업,매출액,84.64
2022,4,현재,서양식 음식점업,매출액,90.22
2022,4,현재,기타 외국식 음식점업,매출액,94.52
2022,4,현재,기관 구내식당업,매출액,92.85
2022,4,현재,출장 음식 서비스업,매출액,97.05
2022,4,현재,기타 간이 음식점업,매출액,78.12
2022,4,현재,제과점업,매출액,78.29
2022,4,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",매출액,81.8
2022,4,현재,치킨 음식점업,매출액,75.63
2022,4,현재,김밥 및 기타 간이 음식점업,매출액,79.19
2022,4,현재,간이음식 포장판매 전문점,매출액,73.91
2022,4,현재,주점업,매출액,86.26
2022,4,현재,일반 유흥주점업,매출액,84.6
2022,4,현재,무도 유흥주점업,매출액,73.67
2022,4,현재,생맥주 전문점,매출액,88.55
2022,4,현재,기타 주점업,매출액,87
2022,4,현재,비알코올음료점업,매출액,83.98
2022,4,현재,커피 전문점,매출액,86.93
2022,4,현재,기타 비알코올 음료점업,매출액,71.11
2022,4,현재,한식 음식점업,식재료,147.15
2022,4,현재,한식 일반음식점업,식재료,146.82
2022,4,현재,한식 면요리 전문점,식재료,147.61
2022,4,현재,한식 육류요리 전문점,식재료,147.34
2022,4,현재,한식 해산물요리 전문점,식재료,148.44
2022,4,현재,외국식 음식점업,식재료,146.85
2022,4,현재,중식 음식점업,식재료,147.58
2022,4,현재,일식 음식점업,식재료,147.76
2022,4,현재,서양식 음식점업,식재료,145.96
2022,4,현재,기타 외국식 음식점업,식재료,143.19
2022,4,현재,기관 구내식당업,식재료,140.79
2022,4,현재,출장 음식 서비스업,식재료,149.72
2022,4,현재,기타 간이 음식점업,식재료,145.25
2022,4,현재,제과점업,식재료,144.94
2022,4,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",식재료,141.53
2022,4,현재,치킨 음식점업,식재료,146.3
2022,4,현재,김밥 및 기타 간이 음식점업,식재료,145.76
2022,4,현재,간이음식 포장판매 전문점,식재료,147.82
2022,4,현재,주점업,식재료,144.89
2022,4,현재,일반 유흥주점업,식재료,143.62
2022,4,현재,무도 유흥주점업,식재료,145.07
2022,4,현재,생맥주 전문점,식재료,144.76
2022,4,현재,기타 주점업,식재료,145.39
2022,4,현재,비알코올음료점업,식재료,136.89
2022,4,현재,커피 전문점,식재료,136.44
2022,4,현재,기타 비알코올 음료점업,식재료,138.82
2022,4,현재,한식 음식점업,고용,95.55
2022,4,현재,한식 일반음식점업,고용,95.78
2022,4,현재,한식 면요리 전문점,고용,95.36
2022,4,현재,한식 육류요리 전문점,고용,94.58
2022,4,현재,한식 해산물요리 전문점,고용,96.63
2022,4,현재,외국식 음식점업,고용,94.01
2022,4,현재,중식 음식점업,고용,93.75
2022,4,현재,일식 음식점업,고용,92.34
2022,4,현재,서양식 음식점업,고용,94.59
2022,4,현재,기타 외국식 음식점업,고용,98.24
2022,4,현재,기관 구내식당업,고용,96.45
2022,4,현재,출장 음식 서비스업,고용,92.22
2022,4,현재,기타 간이 음식점업,고용,95.17
2022,4,현재,제과점업,고용,94.31
2022,4,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",고용,95.27
2022,4,현재,치킨 음식점업,고용,97.41
2022,4,현재,김밥 및 기타 간이 음식점업,고용,93.82
2022,4,현재,간이음식 포장판매 전문점,고용,94.07
2022,4,현재,주점업,고용,97.97
2022,4,현재,일반 유흥주점업,고용,97.11
2022,4,현재,무도 유흥주점업,고용,93.49
2022,4,현재,생맥주 전문점,고용,99.29
2022,4,현재,기타 주점업,고용,98.28
2022,4,현재,비알코올음료점업,고용,96.33
2022,4,현재,커피 전문점,고용,96.14
2022,4,현재,기타 비알코올 음료점업,고용,97.2
2022,3,현재,전체,매출액,89.84
2022,3,현재,전체,식재료,145.89
2022,3,현재,전체,고용,96.24
2022,3,현재,한식 음식점업,매출액,89.8
2022,3,현재,한식 일반음식점업,매출액,88.82
2022,3,현재,한식 면요리 전문점,매출액,86.81
2022,3,현재,한식 육류요리 전문점,매출액,94.94
2022,3,현재,한식 해산물요리 전문점,매출액,85.46
2022,3,현재,외국식 음식점업,매출액,87.86
2022,3,현재,중식 음식점업,매출액,83.84
2022,3,현재,일식 음식점업,매출액,86.97
2022,3,현재,서양식 음식점업,매출액,87.55
2022,3,현재,기타 외국식 음식점업,매출액,110.61
2022,3,현재,기관 구내식당업,매출액,97.96
2022,3,현재,출장 음식 서비스업,매출액,104.21
2022,3,현재,기타 간이 음식점업,매출액,85.23
2022,3,현재,제과점업,매출액,82
2022,3,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",매출액,89.71
2022,3,현재,치킨 음식점업,매출액,81.04
2022,3,현재,김밥 및 기타 간이 음식점업,매출액,87.99
2022,3,현재,간이음식 포장판매 전문점,매출액,86.85
2022,3,현재,주점업,매출액,95.08
2022,3,현재,일반 유흥주점업,매출액,94.95
2022,3,현재,무도 유흥주점업,매출액,87.23
2022,3,현재,생맥주 전문점,매출액,98.16
2022,3,현재,기타 주점업,매출액,95.01
2022,3,현재,비알코올음료점업,매출액,90.13
2022,3,현재,커피 전문점,매출액,92.56
2022,3,현재,기타 비알코올 음료점업,매출액,79.56
2022,3,현재,한식 음식점업,식재료,148.41
2022,3,현재,한식 일반음식점업,식재료,148.15
2022,3,현재,한식 면요리 전문점,식재료,149.37
2022,3,현재,한식 육류요리 전문점,식재료,148.64
2022,3,현재,한식 해산물요리 전문점,식재료,148.81
2022,3,현재,외국식 음식점업,식재료,147.59
2022,3,현재,중식 음식점업,식재료,148.25
2022,3,현재,일식 음식점업,식재료,147.17
2022,3,현재,서양식 음식점업,식재료,146.66
2022,3,현재,기타 외국식 음식점업,식재료,147.89
2022,3,현재,기관 구내식당업,식재료,146.61
2022,3,현재,출장 음식 서비스업,식재료,142.04
2022,3,현재,기타 간이 음식점업,식재료,146.47
2022,3,현재,제과점업,식재료,147.08
2022,3,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",식재료,142.49
2022,3,현재,치킨 음식점업,식재료,147.65
2022,3,현재,김밥 및 기타 간이 음식점업,식재료,146.73
2022,3,현재,간이음식 포장판매 전문점,식재료,148.11
2022,3,현재,주점업,식재료,144.42
2022,3,현재,일반 유흥주점업,식재료,141.47
2022,3,현재,무도 유흥주점업,식재료,143.06
2022,3,현재,생맥주 전문점,식재료,147.72
2022,3,현재,기타 주점업,식재료,145.26
2022,3,현재,비알코올음료점업,식재료,137.21
2022,3,현재,커피 전문점,식재료,137.35
2022,3,현재,기타 비알코올 음료점업,식재료,136.59
2022,3,현재,한식 음식점업,고용,95.57
2022,3,현재,한식 일반음식점업,고용,95.3
2022,3,현재,한식 면요리 전문점,고용,96.34
